    z/L           v            ϑ            M            Q      
================================================================
 0.00000E+00 -1.91438E-28 -2.01552E-28  1.23371E+00 -5.57261E-01
 1.50000E-01  5.59632E-03 -7.02724E-02  1.08371E+00 -3.83455E-01
 3.00000E-01  1.98626E-02 -1.16161E-01  9.33708E-01 -2.32148E-01
 4.50000E-01  3.93943E-02 -1.41042E-01  7.83708E-01 -1.03342E-01
 6.00000E-01  6.12935E-02 -1.48289E-01  6.33708E-01  2.96395E-03
 7.50000E-01  8.31681E-02 -1.41278E-01  4.83708E-01  8.67702E-02
 9.00000E-01  1.03133E-01 -1.23383E-01  3.33708E-01  1.48076E-01
 1.05000E+00  1.19807E-01 -9.79702E-02  2.07162E-01  1.87465E-01
 1.20000E+00  1.32288E-01 -6.78051E-02  1.33017E-01  2.12884E-01
 1.35000E+00  1.39999E-01 -3.46357E-02  6.49524E-02  2.27674E-01
 1.50000E+00  1.42606E-01  1.02019E-06 -6.23642E-06  2.32526E-01
 1.65000E+00  1.39999E-01  3.46376E-02 -6.49649E-02  2.27672E-01
 1.80000E+00  1.32288E-01  6.78066E-02 -1.33030E-01  2.12881E-01
 1.95000E+00  1.19807E-01  9.79710E-02 -2.07175E-01  1.87459E-01
 2.10000E+00  1.03132E-01  1.23383E-01 -3.33696E-01  1.48071E-01
 2.25000E+00  8.31674E-02  1.41277E-01 -4.83696E-01  8.67667E-02
 2.40000E+00  6.12929E-02  1.48288E-01 -6.33696E-01  2.96230E-03
 2.55000E+00  3.93939E-02  1.41041E-01 -7.83696E-01 -1.03342E-01
 2.70000E+00  1.98624E-02  1.16160E-01 -9.33696E-01 -2.32147E-01
 2.85000E+00  5.59626E-03  7.02717E-02 -1.08370E+00 -3.83451E-01
 3.00000E+00  0.00000E+00  0.00000E+00 -1.23370E+00 -5.57255E-01

========================
Bending energy   :  8.07823E-02
Foundation energy:  3.55959E-02
Total energy     :  1.16378E-01
External work    :  1.16377E-01
