  №     z/L           v            ϑ            Q            M      
====================================================================
  0  0.00000E+00 -2.17287E-31  7.79322E-31  5.63139E-01 -1.06052E-01
  1  1.00000E-01  4.40570E-04 -7.95617E-03  4.63139E-01 -5.47381E-02
  2  2.00000E-01  1.43686E-03 -1.12810E-02  3.63139E-01 -1.34242E-02
  3  3.00000E-01  2.57572E-03 -1.09743E-02  2.63139E-01  1.78897E-02
  4  4.00000E-01  3.54401E-03 -8.03634E-03  1.63139E-01  3.92037E-02
  5  5.00000E-01  4.12860E-03 -3.46695E-03  6.31392E-02  5.05176E-02
  6  6.00000E-01  4.21636E-03  1.73384E-03 -3.68608E-02  5.18315E-02
  7  7.00000E-01  3.79412E-03  6.56602E-03 -1.36861E-01  4.31454E-02
  8  8.00000E-01  2.94877E-03  1.00296E-02 -2.36861E-01  2.44593E-02
  9  9.00000E-01  1.86716E-03  1.11246E-02 -3.36861E-01 -4.22673E-03
 10  1.00000E+00  8.36148E-04  8.85091E-03 -4.36861E-01 -4.29128E-02
 11  1.10000E+00  1.97618E-04  3.91152E-03  2.22804E-01 -4.51058E-02
 12  1.20000E+00 -9.85688E-06  6.69231E-04  2.29795E-01 -1.97675E-02
 13  1.30000E+00 -1.08967E-05 -3.74466E-04  9.95737E-02 -3.32174E-03
 14  1.40000E+00  3.09103E-05 -3.76969E-04  1.57374E-02  1.87520E-03
 15  1.50000E+00  5.82566E-05 -1.72582E-04 -1.01483E-02  1.79045E-03
 16  1.60000E+00  6.83431E-05 -4.62383E-05 -7.19161E-03  7.91277E-04
 17  1.70000E+00  6.97736E-05  1.46681E-05  4.08827E-03  6.17434E-04
 18  1.80000E+00  6.40884E-05  1.14322E-04  1.24871E-02  1.51995E-03
 19  1.90000E+00  4.30595E-05  3.23063E-04  1.01234E-03  2.47302E-03
 20  2.00000E+00 -7.53845E-35  4.98849E-04 -6.20577E-02  0.00000E+00

===============================
Bending energy   :  1.08482E-03
Foundation energy:  2.30417E-04
Total energy     :  1.31524E-03
External work    :  1.31523E-03
