    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  2.00710E-29  1.42992E-29  5.50170E-01 -1.01067E-01
 1.00000E-01  4.17805E-04 -7.52248E-03  4.50170E-01 -5.10496E-02
 2.00000E-01  1.35444E-03 -1.05433E-02  3.50170E-01 -1.10326E-02
 3.00000E-01  2.40973E-03 -1.00623E-02  2.50170E-01  1.89844E-02
 4.00000E-01  3.28352E-03 -7.07970E-03  1.50170E-01  3.90015E-02
 5.00000E-01  3.77562E-03 -2.59537E-03  5.01703E-02  4.90185E-02
 6.00000E-01  3.78587E-03  2.39066E-03 -4.98297E-02  4.90355E-02
 7.00000E-01  3.31409E-03  6.87840E-03 -1.49830E-01  3.90526E-02
 8.00000E-01  2.46013E-03  9.86785E-03 -2.49830E-01  1.90696E-02
 9.00000E-01  1.42380E-03  1.03590E-02 -3.49830E-01 -1.09134E-02
 1.00000E+00  5.04941E-04  7.35184E-03 -4.49830E-01 -5.08963E-02
 1.10000E+00  4.07183E-05  2.16895E-03  3.64385E-01 -3.97856E-02
 1.20000E+00 -3.52924E-05 -1.31809E-04  1.99580E-01 -9.22706E-03
 1.30000E+00 -7.31643E-09 -4.15100E-04  2.05444E-02  5.50641E-04
 1.40000E+00  3.81484E-05 -3.57191E-04 -1.12610E-03  2.53358E-04
 1.50000E+00  6.94263E-05 -1.91638E-04  1.18868E-01  5.07280E-03
 1.60000E+00  3.57659E-05  1.21313E-03  2.75138E-01  2.57786E-02
 1.70000E+00 -2.56398E-04  4.93531E-03 -1.39950E-01  4.21705E-02
 1.80000E+00 -8.72009E-04  5.63234E-03 -2.46070E+00 -6.67706E-02
 1.90000E+00 -5.29036E-04 -1.98775E-02 -6.19110E+00 -5.08328E-01
 2.00000E+00  5.02502E-03 -1.00001E-01  0.00000E+00 -1.00000E+00

========================
Bending energy   :  3.84930E-02
Foundation energy:  1.26593E-02
Total energy     :  5.11523E-02
External work    :  1.14515E-03
