    z/L           v            ϑ            Q            M
================================================================
 0.00000E+00  3.12692E-30 -2.12408E-29  5.84444E-02  2.31021E-02
 1.00000E-01 -1.21084E-04  2.43576E-03 -4.15716E-02  2.39461E-02
 2.00000E-01 -4.73292E-04  4.45571E-03 -1.41684E-01  1.47845E-02
 3.00000E-01 -9.64996E-04  5.05869E-03 -2.41969E-01 -4.39647E-03
 4.00000E-01 -1.40437E-03  3.24180E-03 -3.42449E-01 -3.36159E-02
 5.00000E-01 -1.49920E-03 -1.99968E-03 -4.43047E-01 -7.28904E-02
 6.00000E-01 -8.56753E-04 -1.16716E-02 -5.43551E-01 -1.22222E-01
 7.00000E-01  1.01628E-03 -2.67786E-02 -6.43569E-01 -1.81585E-01
 8.00000E-01  4.71346E-03 -4.83203E-02 -7.42495E-01 -2.50900E-01
 9.00000E-01  1.09278E-02 -7.72855E-02 -8.39463E-01 -3.30019E-01
 1.00000E+00  2.04502E-02 -1.14365E-01 -9.33312E-01  7.56692E-02
 1.10000E+00  2.91643E-02 -6.11881E-02 -9.33317E-01  4.87979E-01
 1.20000E+00  3.29988E-02 -1.70568E-02 -9.33317E-01  3.94648E-01
 1.30000E+00  3.28868E-02  1.77414E-02 -9.33317E-01  3.01316E-01
 1.40000E+00  2.97616E-02  4.32064E-02 -9.33317E-01  2.07984E-01
 1.50000E+00  2.45566E-02  5.93383E-02 -9.33317E-01  1.14653E-01
 1.60000E+00  1.82051E-02  6.61369E-02 -9.33317E-01  2.13210E-02
 1.70000E+00  1.16403E-02  6.36025E-02 -9.33317E-01 -7.20107E-02
 1.80000E+00  5.79569E-03  5.17348E-02 -9.33317E-01 -1.65342E-01
 1.90000E+00  1.60448E-03  3.05340E-02 -9.33317E-01 -2.58674E-01
 2.00000E+00  0.00000E+00  0.00000E+00 -9.33317E-01 -3.52006E-01

========================
Bending energy   :  5.80911E-02
Foundation energy:  6.38620E-05
Total energy     :  5.81550E-02
External work    :  5.81555E-02
