    z/L           v            ϑ            Q            M      
================================================================
 0.00000E+00  5.39317E-24  1.42475E-23  6.51639E-01 -3.34593E-01
 1.00000E-01  1.56436E-03 -3.02011E-02  6.51639E-01 -2.69429E-01
 2.00000E-01  5.82300E-03 -5.38858E-02  6.51639E-01 -2.04265E-01
 3.00000E-01  1.21243E-02 -7.10540E-02  6.51639E-01 -1.39101E-01
 4.00000E-01  1.98166E-02 -8.17059E-02  6.51639E-01 -7.39370E-02
 5.00000E-01  2.82483E-02 -8.58414E-02  6.51639E-01 -8.77304E-03
 6.00000E-01  3.67677E-02 -8.34605E-02  6.51639E-01  5.63909E-02
 7.00000E-01  4.47232E-02 -7.45633E-02  6.51639E-01  1.21555E-01
 8.00000E-01  5.14631E-02 -5.91496E-02  6.51639E-01  1.86719E-01
 9.00000E-01  5.63359E-02 -3.72195E-02  6.51639E-01  2.51883E-01
 1.00000E+00  5.86898E-02 -8.77317E-03  1.51639E-01  3.16765E-01
 1.10000E+00  5.80431E-02  2.10621E-02 -4.24911E-01  2.78385E-01
 1.20000E+00  5.46190E-02  4.66477E-02 -5.02293E-01  2.32037E-01
 1.30000E+00  4.88811E-02  6.72087E-02 -5.81524E-01  1.77865E-01
 1.40000E+00  4.13712E-02  8.19524E-02 -6.63425E-01  1.15643E-01
 1.50000E+00  3.27118E-02  9.00590E-02 -7.48581E-01  4.50711E-02
 1.60000E+00  2.36090E-02  9.06768E-02 -8.37315E-01 -3.41933E-02
 1.70000E+00  1.48556E-02  8.29185E-02 -9.29648E-01 -1.22512E-01
 1.80000E+00  7.33519E-03  6.58609E-02 -1.02527E+00 -2.20233E-01
 1.90000E+00  2.02520E-03  3.85485E-02 -1.12349E+00 -3.27653E-01
 2.00000E+00  0.00000E+00  0.00000E+00 -1.22321E+00 -4.44981E-01

========================
Bending energy   :  4.21706E-02
Foundation energy:  2.81797E-03
Total energy     :  4.49886E-02
External work    :  4.49843E-02
