    z/L           v            ϑ            M            Q      
================================================================
 0.00000E+00 -8.34853E-30  2.47779E-28  5.50119E-01 -1.01049E-01
 1.50000E-01  8.48452E-04 -9.53100E-03  4.00119E-01 -2.97811E-02
 3.00000E-01  2.40917E-03 -1.00593E-02  2.50119E-01  1.89867E-02
 4.50000E-01  3.58487E-03 -4.95998E-03  1.00119E-01  4.52545E-02
 6.00000E-01  3.78453E-03  2.39203E-03 -4.98813E-02  4.90223E-02
 7.50000E-01  2.92337E-03  8.62172E-03 -1.99881E-01  3.02901E-02
 9.00000E-01  1.42288E-03  1.03541E-02 -3.49881E-01 -1.09421E-02
 1.05000E+00  2.06231E-04  4.56361E-03  1.87523E-01 -5.50036E-02
 1.20000E+00 -3.34628E-05 -1.37080E-04  2.05572E-01 -8.96644E-03
 1.35000E+00  1.47544E-05 -2.42999E-04 -2.64772E-03  2.35076E-03
 1.50000E+00  3.01243E-05 -2.79461E-08 -6.81542E-06  1.04438E-03
 1.65000E+00  1.47689E-05  2.42844E-04  2.66920E-03  2.35028E-03
 1.80000E+00 -3.34479E-05  1.37540E-04 -2.05420E-01 -8.95432E-03
 1.95000E+00  2.05964E-04 -4.56008E-03 -1.87885E-01 -5.49864E-02
 2.10000E+00  1.42214E-03 -1.03520E-02  3.49909E-01 -1.09567E-02
 2.25000E+00  2.92247E-03 -8.62154E-03  1.99909E-01  3.02796E-02
 2.40000E+00  3.78370E-03 -2.39313E-03  4.99088E-02  4.90159E-02
 2.55000E+00  3.58426E-03  4.95823E-03 -1.00091E-01  4.52522E-02
 2.70000E+00  2.40884E-03  1.00575E-02 -2.50091E-01  1.89885E-02
 2.85000E+00  8.48354E-04  9.52980E-03 -4.00091E-01 -2.97751E-02
 3.00000E+00  0.00000E+00  0.00000E+00 -5.50091E-01 -1.01039E-01

========================
Bending energy   :  1.98645E-03
Foundation energy:  2.90515E-04
Total energy     :  2.27697E-03
External work    :  2.27667E-03
